T20I Match No,Match ID,Match Name,Series ID,Series Name,Match Date,Match Format,Team1 ID,Team1 Name,Team1 Captain,Team1 Runs Scored,Team1 Wickets Fell,Team1 Extras Rec,Team2 ID,Team2 Name,Team2 Captain,Team2 Runs Scored,Team2 Wickets Fell,Team2 Extras Rec,Match Venue (Stadium),Match Venue (City),Match Venue (Country),Umpire 1,Umpire 2,Match Referee,Toss Winner,Toss Winner Choice,Match Winner,Match Result Text,MOM Player,Team1 Playing 11,Team2 Playing 11,Debut Players
2219,1393316,Rwanda Vs Uganda 12Th Match,1393305,"East Africa Cup Rwanda, Tanzania, Uganda in Rwanda - 2023 (2023)",27/08/23,T20,191,Rwanda,C Rubagumya,126,7,15,34,Uganda,B Masaba,127,4,10,Gahanga International Cricket Stadium,Kigali City,Rwanda,Gaston Niyibizi,JC Siboniyo,,Rwanda,bat,Uganda,Uganda won by 6 wickets (with 19 balls remaining),AR Ramjani,"['O Manishimwe', 'E Dusingizimana', 'W Niyitanga', 'O Tuyisenge', 'C Rubagumya', 'E Niyomugabo', 'K Irakoze', 'E Sebareme', 'E Rukiriza', 'I Mugisha', 'E Kubwimana']","['RG Mukasa', 'S Ssesazi', 'R Lutaaya', 'RB Patel', 'AR Ramjani', 'K Waiswa', 'S Nsubuga', 'D Wabwire', 'B Masaba', 'H Ssenyondo', 'P Murungi']",[]
2220,1393317,Tanzania Vs Uganda 13Th Match,1393305,"East Africa Cup Rwanda, Tanzania, Uganda in Rwanda - 2023 (2023)",28/08/23,T20,34,Uganda,RG Mukasa,180,6,8,211,Tanzania,AR Patwa,121,10,5,Gahanga International Cricket Stadium,Kigali City,Rwanda,EH Dusabemungu,V Iriho,,Uganda,bat,Uganda,Uganda won by 59 runs,AR Ramjani,"['RG Mukasa', 'S Ssesazi', 'R Lutaaya', 'RB Patel', 'AR Ramjani', 'K Waiswa', 'B Masaba', 'CN Kakuru', 'J Sebanja', 'H Ssenyondo', 'Bilal Hassun']","['AR Patwa', 'II Selemani', 'K Nassoro', 'AP Rajeevan', 'Shaik Basha', 'MO Kitunda', 'AM Kimote', 'SA Jumbe', 'M Yunusu Issa', 'JJ Nyambo', 'YM Nkanya']",[]
2221,1393318,Rwanda Vs Uganda 14Th Match,1393305,"East Africa Cup Rwanda, Tanzania, Uganda in Rwanda - 2023 (2023)",28/08/23,T20,191,Rwanda,C Rubagumya,110,6,11,34,Uganda,K Waiswa,114,2,2,Gahanga International Cricket Stadium,Kigali City,Rwanda,EH Dusabemungu,V Iriho,,Rwanda,bat,Uganda,Uganda won by 8 wickets (with 67 balls remaining),,"['O Manishimwe', 'E Dusingizimana', 'W Niyitanga', 'O Tuyisenge', 'Z Bimenyimana', 'C Rubagumya', 'E Niyomugabo', 'E Rukiriza', 'I Mugisha', 'E Sebareme', 'JM Iradukunda']","['RG Mukasa', 'S Ssesazi', 'Bilal Hassun', 'P Murungi', 'H Ssenyondo', 'CN Kakuru', 'K Waiswa', 'R Lutaaya', 'D Wabwire', 'AR Ramjani', 'S Nsubuga']","['JM Iradukunda', 'JM Iradukunda']"
2222,1393319,Tanzania Vs Uganda 15Th Match,1393305,"East Africa Cup Rwanda, Tanzania, Uganda in Rwanda - 2023 (2023)",30/08/23,T20,34,Uganda,B Masaba,141,10,16,211,Tanzania,AR Patwa,122,10,10,Gahanga International Cricket Stadium,Kigali City,Rwanda,Gaston Niyibizi,JC Siboniyo,,Tanzania,bowl,Uganda,Uganda won by 19 runs,B Masaba,"['RG Mukasa', 'S Ssesazi', 'RB Patel', 'P Murungi', 'AR Ramjani', 'K Waiswa', 'B Masaba', 'CN Kakuru', 'J Sebanja', 'S Nsubuga', 'D Wabwire']","['AR Patwa', 'II Selemani', 'AP Rajeevan', 'K Nassoro', 'Shaik Basha', 'MO Kitunda', 'SA Jumbe', 'S Thakor', 'AM Kimote', 'M Yunusu Issa', 'YM Nkanya']",[]
2223,1393331,Rwanda Vs Tanzania 16Th Match,1393305,"East Africa Cup Rwanda, Tanzania, Uganda in Rwanda - 2023 (2023)",30/08/23,T20,211,Tanzania,AR Patwa,157,7,10,191,Rwanda,C Rubagumya,98,10,8,Gahanga International Cricket Stadium,Kigali City,Rwanda,Gaston Niyibizi,V Prajapati,,Rwanda,bowl,Tanzania,Tanzania won by 59 runs,M Yunusu Issa,"['AR Patwa', 'II Selemani', 'Jitin Singh', 'AP Rajeevan', 'K Nassoro', 'S Thakor', 'M Yunusu Issa', 'Shaik Basha', 'AM Kimote', 'SA Jumbe', 'YM Nkanya']","['O Tuyisenge', 'C Rubagumya', 'K Irakoze', 'E Niyomugabo', 'E Sebareme', 'W Niyitanga', 'O Manishimwe', 'M Akayezu', 'Z Bimenyimana', 'E Rukiriza', 'JM Iradukunda']",[]
2224,1373568,South Africa Vs Australia 1St T20I,1373563,Australia tour of South Africa  - 2023 (2023/24),30/08/23,T20,2,Australia,MR Marsh,226,6,11,3,South Africa,AK Markram,115,10,2,Kingsmead,Durban,South Africa,BP Jele,LB Gcuma,RB Richardson,South Africa,bowl,Australia,Australia won by 111 runs,MR Marsh,"['MW Short', 'TM Head', 'MR Marsh', 'JP Inglis', 'MP Stoinis', 'TH David', 'AM Hardie', 'SA Abbott', 'NT Ellis', 'T Sangha', 'SH Johnson']","['RR Hendricks', 'T Bavuma', 'HE van der Dussen', 'AK Markram', 'D Brevis', 'T Stubbs', 'M Jansen', 'G Coetzee', 'LB Williams', 'L Ngidi', 'T Shamsi']","['AM Hardie', 'D Brevis', 'G Coetzee', 'MW Short', 'SH Johnson', 'T Sangha']"
2225,1336048,England Vs New Zealand 1St T20I,1336040,New Zealand in England  - 2023 (2023),30/08/23,T20,5,New Zealand,TG Southee,139,9,4,1,England,JC Buttler,143,3,10,Riverside Ground,Chester-le-Street,England,MJ Saggers,M Burns,BC Broad,England,bowl,England,England won by 7 wickets (with 36 balls remaining),BA Carse,"['FH Allen', 'DP Conway', 'TL Seifert', 'GD Phillips', 'MS Chapman', 'DJ Mitchell', 'MJ Santner', 'AF Milne', 'IS Sodhi', 'TG Southee', 'LH Ferguson']","['JM Bairstow', 'WG Jacks', 'DJ Malan', 'HC Brook', 'LS Livingstone', 'JC Buttler', 'MM Ali', 'SM Curran', 'AU Rashid', 'BA Carse', 'L Wood']",['BA Carse']
2226,1393320,Rwanda Vs Uganda 17Th Match,1393305,"East Africa Cup Rwanda, Tanzania, Uganda in Rwanda - 2023 (2023)",31/08/23,T20,191,Rwanda,C Rubagumya,131,10,8,34,Uganda,K Waiswa,133,2,8,Gahanga International Cricket Stadium,Kigali City,Rwanda,EH Dusabemungu,Norbert Abii,,Rwanda,bat,Uganda,Uganda won by 8 wickets (with 40 balls remaining),S Ssesazi,"['O Manishimwe', 'E Dusingizimana', 'E Niyomugabo', 'C Rubagumya', 'K Irakoze', 'E Sebareme', 'W Niyitanga', 'Z Bimenyimana', 'E Kubwimana', 'JM Iradukunda', 'I Mugisha']","['RG Mukasa', 'S Ssesazi', 'R Lutaaya', 'P Murungi', 'S Nsubuga', 'D Wabwire', 'AR Ramjani', 'K Waiswa', 'CN Kakuru', 'H Ssenyondo', 'Bilal Hassun']",[]
2227,1393332,Rwanda Vs Tanzania 18Th Match,1393305,"East Africa Cup Rwanda, Tanzania, Uganda in Rwanda - 2023 (2023)",31/08/23,T20,211,Tanzania,AR Patwa,179,6,16,191,Rwanda,C Rubagumya,130,10,10,Gahanga International Cricket Stadium,Kigali City,Rwanda,Norbert Abii,V Iriho,,Tanzania,bat,Tanzania,Tanzania won by 49 runs,YM Nkanya,"['AR Patwa', 'II Selemani', 'AP Rajeevan', 'K Nassoro', 'S Thakor', 'M Yunusu Issa', 'Shaik Basha', 'AM Kimote', 'SA Jumbe', 'YM Nkanya', 'DA Mehta']","['O Tuyisenge', 'E Dusingizimana', 'E Niyomugabo', 'K Irakoze', 'E Sebareme', 'M Akayezu', 'E Rukiriza', 'Z Bimenyimana', 'C Rubagumya', 'W Niyitanga', 'O Manishimwe']",[]
2228,1373569,South Africa Vs Australia 2Nd T20I,1373563,Australia tour of South Africa  - 2023 (2023/24),01/09/23,T20,3,South Africa,AK Markram,164,8,11,2,Australia,MR Marsh,168,2,3,Kingsmead,Durban,South Africa,A Paleker,SD Harris,RB Richardson,Australia,bowl,Australia,Australia won by 8 wickets (with 31 balls remaining),SA Abbott,"['RR Hendricks', 'T Bavuma', 'HE van der Dussen', 'AK Markram', 'D Brevis', 'T Stubbs', 'BC Fortuin', 'G Coetzee', 'L Ngidi', 'LB Williams', 'T Shamsi']","['MW Short', 'TM Head', 'MR Marsh', 'JP Inglis', 'MP Stoinis', 'TH David', 'AM Hardie', 'SA Abbott', 'NT Ellis', 'A Zampa', 'JP Behrendorff']",[]
2229,1336049,England Vs New Zealand 2Nd T20I,1336040,New Zealand in England  - 2023 (2023),01/09/23,T20,1,England,JC Buttler,198,4,7,5,New Zealand,TG Southee,103,10,4,Old Trafford,Manchester,England,AG Wharf,MJ Saggers,BC Broad,England,bat,England,England won by 95 runs,JM Bairstow,"['JM Bairstow', 'WG Jacks', 'DJ Malan', 'HC Brook', 'MM Ali', 'JC Buttler', 'LS Livingstone', 'SM Curran', 'AU Rashid', 'BA Carse', 'AAP Atkinson']","['FH Allen', 'DP Conway', 'TL Seifert', 'GD Phillips', 'MS Chapman', 'DJ Mitchell', 'MJ Santner', 'AF Milne', 'IS Sodhi', 'TG Southee', 'LH Ferguson']",['AAP Atkinson']
2230,1373570,South Africa Vs Australia 3Rd T20I,1373563,Australia tour of South Africa  - 2023 (2023/24),03/09/23,T20,3,South Africa,AK Markram,190,8,5,2,Australia,MR Marsh,191,5,3,Kingsmead,Durban,South Africa,A Paleker,BP Jele,RB Richardson,South Africa,bat,Australia,Australia won by 5 wickets (with 13 balls remaining),TM Head,"['RR Hendricks', 'T Bavuma', 'MP Breetzke', 'AK Markram', 'T Stubbs', 'D Ferreira', 'BC Fortuin', 'G Coetzee', 'KA Maharaj', 'L Ngidi', 'LB Williams']","['MW Short', 'TM Head', 'MR Marsh', 'JP Inglis', 'MP Stoinis', 'TH David', 'AJ Turner', 'SA Abbott', 'NT Ellis', 'SH Johnson', 'T Sangha']","['D Ferreira', 'MP Breetzke']"
2231,1336050,England Vs New Zealand 3Rd T20I,1336040,New Zealand in England  - 2023 (2023),03/09/23,T20,5,New Zealand,TG Southee,202,5,6,1,England,JC Buttler,128,10,6,Edgbaston,Birmingham,England,AG Wharf,DJ Millns,BC Broad,New Zealand,bat,New Zealand,New Zealand won by 74 runs,FH Allen,"['FH Allen', 'DP Conway', 'TL Seifert', 'GD Phillips', 'MS Chapman', 'DJ Mitchell', 'MJ Santner', 'KA Jamieson', 'IS Sodhi', 'TG Southee', 'MJ Henry']","['JM Bairstow', 'WG Jacks', 'DJ Malan', 'HC Brook', 'JC Buttler', 'MM Ali', 'LS Livingstone', 'CJ Jordan', 'L Wood', 'AAP Atkinson', 'AU Rashid']",[]
2232,1336051,England Vs New Zealand 4Th T20I,1336040,New Zealand in England  - 2023 (2023),05/09/23,T20,1,England,MM Ali,175,8,13,5,New Zealand,TG Southee,179,4,2,Trent Bridge,Nottingham,England,DJ Millns,M Burns,BC Broad,England,bat,New Zealand,New Zealand won by 6 wickets (with 16 balls remaining),MJ Santner,"['JM Bairstow', 'WG Jacks', 'DJ Malan', 'HC Brook', 'LS Livingstone', 'MM Ali', 'SM Curran', 'Rehan Ahmed', 'BA Carse', 'AU Rashid', 'L Wood']","['FH Allen', 'TL Seifert', 'DJ Mitchell', 'GD Phillips', 'MS Chapman', 'R Ravindra', 'MJ Santner', 'KA Jamieson', 'IS Sodhi', 'TG Southee', 'MJ Henry']",[]
2233,1392802,Kuwait Vs Saudi Arabia 1St Match,1392788,"Gulf Cricket T20I Championship Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates in Qatar - 2023 (2023)",15/09/23,T20,154,Saudi Arabia,Hisham Sheikh,142,9,6,38,Kuwait,MNM Aslam,143,5,8,West End Park International Cricket Stadium,Doha,Qatar,KR Azad,Mohammad Nasim,Shivani Mishra,Saudi Arabia,bat,Kuwait,Kuwait won by 5 wickets (with 9 balls remaining),Adnan Idrees,"['Abdul Waheed', 'Faisal Khan', 'Saad Khan', 'Manan Ali', 'Hisham Sheikh', 'Zain Ul Abidin', 'Mohsin Shabbir', 'Sarfraz Butt', 'Usman Najeeb', 'Atif-Ur-Rehman', 'Ishtiaq Ahmad']","['R Sandaruwan', 'Adnan Idrees', 'Meet Bhavsar', 'Usman Patel', 'Ahsan ul Haq', 'Parvindar Kumar', 'Shiraz Khan', 'MNM Aslam', 'YI Patel', 'Shahrukh Quddus', 'Sayed Monib']","['Ahsan ul Haq', 'Ahsan ul Haq', 'Manan Ali', 'Manan Ali', 'Mohsin Shabbir', 'Mohsin Shabbir', 'Parvindar Kumar', 'Parvindar Kumar']"
2234,1392803,Qatar Vs Bahrain 2Nd Match,1392788,"Gulf Cricket T20I Championship Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates in Qatar - 2023 (2023)",15/09/23,T20,187,Qatar,Muhammad Murad,138,8,8,108,Bahrain,Umer Toor,104,7,10,West End Park International Cricket Stadium,Doha,Qatar,Imran Mustafa,Shiju Sam,Shivani Mishra,Bahrain,bowl,Qatar,Qatar won by 19 runs (DLS method),H Rathod,"['I Liyanage', 'Saqlain Arshad', 'Adnan Mirza', 'Muhammad Tanveer', 'MM Baig', 'Muhammad Murad', 'H Rathod', 'Uzair Amir', 'Bukhar Illikkal', 'Bipin Kumar', 'Muhammad Jabir']","['Umer Toor', 'Imran Ali Butt', 'Ahmer Bin', 'Haider Butt', 'Yasser Nazir', 'Imran Anwar', 'S Veerapathiran', 'Mohsin Zaki', 'Rizwan Butt', 'Abdul Majid', 'Ali Dawood']","['Adnan Mirza', 'Adnan Mirza', 'Bipin Kumar', 'Bipin Kumar', 'Bukhar Illikkal', 'Bukhar Illikkal', 'H Rathod', 'H Rathod', 'MM Baig', 'MM Baig', 'Mohsin Zaki', 'Mohsin Zaki', 'Muhammad Jabir', 'Muhammad Jabir', 'Uzair Amir', 'Uzair Amir']"
