T20I Match No,Match ID,Match Name,Series ID,Series Name,Match Date,Match Format,Team1 ID,Team1 Name,Team1 Captain,Team1 Runs Scored,Team1 Wickets Fell,Team1 Extras Rec,Team2 ID,Team2 Name,Team2 Captain,Team2 Runs Scored,Team2 Wickets Fell,Team2 Extras Rec,Match Venue (Stadium),Match Venue (City),Match Venue (Country),Umpire 1,Umpire 2,Match Referee,Toss Winner,Toss Winner Choice,Match Winner,Match Result Text,MOM Player,Team1 Playing 11,Team2 Playing 11,Debut Players
1,211048,New Zealand Vs Australia Only T20I,238218,Australia tour of New Zealand  - 2005 (2004/05),,T20,2,Australia,RT Ponting,214,5,12,5,New Zealand,SP Fleming,170,10,2,Eden Park,Auckland,New Zealand,BF Bowden,AL Hill,CH Lloyd,Australia,bat,Australia,Australia won by 44 runs,RT Ponting,"['AC Gilchrist', 'MJ Clarke', 'A Symonds', 'RT Ponting', 'DR Martyn', 'SM Katich', 'MEK Hussey', 'JR Hopes', 'B Lee', 'MS Kasprowicz', 'GD McGrath']","['BB McCullum', 'SP Fleming', 'MS Sinclair', 'SB Styris', 'CD McMillan', 'CL Cairns', 'HJH Marshall', 'AR Adams', 'JW Wilson', 'KD Mills', 'DR Tuffey']","['AC Gilchrist', 'AC Gilchrist', 'AR Adams', 'A Symonds', 'BB McCullum', 'BB McCullum', 'B Lee', 'B Lee', 'CL Cairns', 'CL Cairns', 'CD McMillan', 'CD McMillan', 'DR Martyn', 'DR Martyn', 'DR Tuffey', 'DR Tuffey', 'GD McGrath', 'GD McGrath', 'HJH Marshall', 'HJH Marshall', 'JR Hopes', 'JW Wilson', 'JW Wilson', 'KD Mills', 'KD Mills', 'MS Sinclair', 'MS Sinclair', 'MJ Clarke', 'MEK Hussey', 'MS Kasprowicz', 'RT Ponting', 'SB Styris', 'SB Styris', 'SM Katich', 'SP Fleming']"
2,211028,England Vs Australia Only T20I,238219,Australia tour of England and Scotland  - 2005 (2005),,T20,1,England,MP Vaughan,179,8,6,2,Australia,RT Ponting,79,10,6,The Rose Bowl,Southampton,England,JW Lloyds,NJ Llong,JJ Crowe,England,bat,England,England won by 100 runs,KP Pietersen,"['ME Trescothick', 'GO Jones', 'A Flintoff', 'KP Pietersen', 'MP Vaughan', 'PD Collingwood', 'AJ Strauss', 'VS Solanki', 'J Lewis', 'D Gough', 'SJ Harmison']","['AC Gilchrist', 'ML Hayden', 'A Symonds', 'MJ Clarke', 'MEK Hussey', 'RT Ponting', 'DR Martyn', 'B Lee', 'JN Gillespie', 'MS Kasprowicz', 'GD McGrath']","['A Flintoff', 'AJ Strauss', 'D Gough', 'GO Jones', 'JN Gillespie', 'JN Gillespie', 'J Lewis', 'KP Pietersen', 'ME Trescothick', 'ML Hayden', 'ML Hayden', 'MP Vaughan', 'MP Vaughan', 'PD Collingwood', 'PD Collingwood', 'SJ Harmison', 'VS Solanki']"
3,222678,South Africa Vs New Zealand Only T20I,238166,New Zealand tour of South Africa  - 2005 (2005/06),,T20,3,South Africa,GC Smith,133,10,8,5,New Zealand,SP Fleming,134,5,11,New Wanderers Stadium,Johannesburg,South Africa,BG Jerling,IL Howell,BC Broad,New Zealand,bowl,New Zealand,New Zealand won by 5 wickets (with 12 balls remaining),JS Patel,"['N Boje', 'GC Smith', 'JH Kallis', 'HH Gibbs', 'JM Kemp', 'MV Boucher', 'SM Pollock', 'AG Prince', 'JA Morkel', 'CK Langeveldt', 'M Ntini']","['JS Patel', 'SP Fleming', 'NJ Astle', 'HJH Marshall', 'CD McMillan', 'SB Styris', 'JDP Oram', 'BB McCullum', 'KD Mills', 'AR Adams', 'SE Bond']","['JA Morkel', 'A Nel', 'AG Prince', 'CK Langeveldt', 'GC Smith', 'HH Gibbs', 'JDP Oram', 'JDP Oram', 'JH Kallis', 'JAH Marshall', 'JAH Marshall', 'JS Patel', 'JS Patel', 'JM Kemp', 'M Ntini', 'MV Boucher', 'NJ Astle', 'N Boje', 'SE Bond', 'SE Bond', 'SM Pollock']"
4,226374,Australia Vs South Africa Only T20I,226335,South Africa tour of Australia  - 2005 (2005/06),,T20,2,Australia,RT Ponting,209,3,15,3,South Africa,GC Smith,114,10,1,Brisbane Cricket Ground,Brisbane,Australia,RL Parry,BNJ Oxenford,RG Archer,Australia,bat,Australia,Australia won by 95 runs,DR Martyn,"['JR Hopes', 'DR Martyn', 'RT Ponting', 'A Symonds', 'MJ Clarke', 'MEK Hussey', 'BJ Haddin', 'SM Katich', 'NW Bracken', 'SR Clark', 'ML Lewis']","['GC Smith', 'HH Dippenaar', 'HH Gibbs', 'MV Boucher', 'SM Pollock', 'JH Kallis', 'JA Rudolph', 'AJ Hall', 'J Botha', 'GJP Kruger', 'M Zondeki']","['AJ Hall', 'HH Dippenaar', 'BJ Haddin', 'GJP Kruger', 'JA Rudolph', 'J Botha', 'ML Lewis', 'M Zondeki', 'NW Bracken', 'SR Clark', 'SR Clark']"
5,237242,New Zealand Vs West Indies Only T20I,237244,West Indies tour of New Zealand  - 2006 (2005/06),,T20,4,West Indies,S Chanderpaul,126,7,10,5,New Zealand,SP Fleming,126,8,10,Eden Park,Auckland,New Zealand,BF Bowden,AL Hill,MJ Procter,New Zealand,bowl,,Match tied,DR Smith,"['CH Gayle', 'D Ganga', 'RS Morton', 'DR Smith', 'WW Hinds', 'S Chanderpaul', 'DJ Bravo', 'D Ramdin', 'IDR Bradshaw', 'DK Butler', 'JE Taylor']","['L Vincent', 'SP Fleming', 'NJ Astle', 'SB Styris', 'CL Cairns', 'PG Fulton', 'HJH Marshall', 'BB McCullum', 'JEC Franklin', 'SE Bond', 'JS Patel']","['CH Gayle', 'D Ganga', 'D Ganga', 'DK Butler', 'DK Butler', 'D Ramdin', 'D Ramdin', 'DJ Bravo', 'DJ Bravo', 'DR Smith', 'DR Smith', 'IDR Bradshaw', 'IDR Bradshaw', 'JEC Franklin', 'JE Taylor', 'JE Taylor', 'L Vincent', 'PG Fulton', 'RS Morton', 'RS Morton', 'S Chanderpaul', 'S Chanderpaul', 'WW Hinds', 'WW Hinds']"
6,238195,South Africa Vs Australia Only T20I,238137,Australia tour of South Africa  - 2006 (2005/06),,T20,3,South Africa,GC Smith,201,4,17,2,Australia,RT Ponting,199,7,8,New Wanderers Stadium,Johannesburg,South Africa,KH Hurter,M Erasmus,BC Broad,South Africa,bat,South Africa,South Africa won by 2 runs,GC Smith,"['GC Smith', 'LE Bosman', 'HH Gibbs', 'SM Pollock', 'JJ van der Wath', 'AB de Villiers', 'ND McKenzie', 'AJ Hall', 'RJ Peterson', 'R Telemachus', 'M Ntini']","['AC Gilchrist', 'SM Katich', 'RT Ponting', 'DR Martyn', 'MJ Clarke', 'SR Watson', 'GB Hogg', 'B Lee', 'NW Bracken', 'ML Lewis', 'SR Clark']","['AB de Villiers', 'GB Hogg', 'JJ van der Wath', 'LE Bosman', 'ND McKenzie', 'RJ Peterson', 'R Telemachus', 'SR Watson']"
7,225271,England Vs Sri Lanka Only T20I,224906,Sri Lanka tour of England  - 2006 (2006),15/06/06,T20,8,Sri Lanka,DPMD Jayawardene,163,10,12,1,England,AJ Strauss,161,5,13,The Rose Bowl,Southampton,England,IJ Gould,NJ Llong,CH Lloyd,Sri Lanka,bat,Sri Lanka,Sri Lanka won by 2 runs,ST Jayasuriya,"['ST Jayasuriya', 'WU Tharanga', 'DPMD Jayawardene', 'TM Dilshan', 'KC Sangakkara', 'RP Arnold', 'CK Kapugedera', 'MF Maharoof', 'SL Malinga', 'CRD Fernando', 'PDRL Perera']","['ME Trescothick', 'AJ Strauss', 'KP Pietersen', 'PD Collingwood', 'JWM Dalrymple', 'GO Jones', 'TT Bresnan', 'EC Joyce', 'LE Plunkett', 'SI Mahmood', 'SJ Harmison']","['CK Kapugedera', 'CRD Fernando', 'EC Joyce', 'MF Maharoof', 'JWM Dalrymple', 'KC Sangakkara', 'SL Malinga', 'LE Plunkett', 'DPMD Jayawardene', 'PDRL Perera', 'PDRL Perera', 'RP Arnold', 'SI Mahmood', 'ST Jayasuriya', 'TM Dilshan', 'TT Bresnan', 'WU Tharanga', 'WU Tharanga']"
71,361655,Canada Vs Zimbabwe 3Rd Match,361644,T20 Canada in Canada - 2008 (2008/09),11/10/08,T20,17,Canada,S Dhaniram,135,7,15,9,Zimbabwe,P Utseya,135,9,11,Maple Leaf North-West Ground,King City,Canada,K Bayney,MR Benson,JJ Crowe,Zimbabwe,bowl,,Match tied,T Taibu,"['AA Mulla', 'Rizwan Cheema', 'Mohammad Iqbal', 'AM Samad', 'RR David', 'S Dhaniram', 'K Jethi', 'WD Balaji Rao', 'U Bhatti', 'HS Baidwan', 'H Osinde']","['H Masakadza', 'C Zhuwao', 'CJ Chibhabha', 'T Taibu', 'S Matsikenyeri', 'KM Dabengwa', 'E Chigumbura', 'T Maruma', 'T Mupariwa', 'P Utseya', 'RW Price']",['C Zhuwao']
8,225263,England Vs Pakistan Only T20I,224904,Pakistan tour of England and Scotland  - 2006 (2006),28/08/06,T20,1,England,AJ Strauss,144,7,11,7,Pakistan,Inzamam-ul-Haq,148,5,10,County Ground,Bristol,England,NJ Llong,PJ Hartley,MJ Procter,England,bat,Pakistan,Pakistan won by 5 wickets (with 13 balls remaining),Shahid Afridi,"['ME Trescothick', 'IR Bell', 'KP Pietersen', 'AJ Strauss', 'PD Collingwood', 'JWM Dalrymple', 'MH Yardy', 'CMW Read', 'SI Mahmood', 'D Gough', 'SCJ Broad']","['Shoaib Malik', 'Mohammad Hafeez', 'Younis Khan', 'Shahid Afridi', 'Mohammad Yousuf', 'Inzamam-ul-Haq', 'Abdul Razzaq', 'Kamran Akmal', 'Naved-ul-Hasan', 'Shoaib Akhtar', 'Mohammad Asif']","['Abdul Razzaq', 'CMW Read', 'IR Bell', 'Inzamam-ul-Haq', 'Kamran Akmal', 'MH Yardy', 'Mohammad Asif', 'Mohammad Hafeez', 'Mohammad Yousuf', 'Naved-ul-Hasan', 'Shahid Afridi', 'Shoaib Akhtar', 'Shoaib Malik', 'SCJ Broad', 'Younis Khan']"
9,264065,Bangladesh Vs Zimbabwe Only T20I,264062,Zimbabwe tour of Bangladesh  - 2006 (2006/07),28/11/06,T20,25,Bangladesh,Shahriar Nafees,166,10,12,9,Zimbabwe,P Utseya,123,9,5,Khulna Divisional Stadium,Khulna,Bangladesh,Enamul Haque,Nadir Shah,RS Madugalle,Zimbabwe,bowl,Bangladesh,Bangladesh won by 43 runs,Mashrafe Mortaza,"['Nazmus Sadat', 'Shahriar Nafees', 'Aftab Ahmed', 'Shakib Al Hasan', 'Nadif Chowdhury', 'Farhad Reza', 'Mushfiqur Rahim', 'Mashrafe Mortaza', 'Mohammad Rafique', 'Abdur Razzak', 'Shahadat Hossain']","['BRM Taylor', 'S Matsikenyeri', 'E Chigumbura', 'H Masakadza', 'SC Williams', 'KM Dabengwa', 'ML Nkala', 'GB Brent', 'P Utseya', 'CJ Chibhabha', 'AJ Ireland']","['Abdur Razzak', 'Abdur Razzak', 'Aftab Ahmed', 'Aftab Ahmed', 'AJ Ireland', 'BRM Taylor', 'CJ Chibhabha', 'E Chigumbura', 'Farhad Reza', 'Farhad Reza', 'GB Brent', 'GB Brent', 'H Masakadza', 'KM Dabengwa', 'KM Dabengwa', 'Mashrafe Mortaza', 'Mashrafe Mortaza', 'ML Nkala', 'ML Nkala', 'Mohammad Rafique', 'Mohammad Rafique', 'Mushfiqur Rahim', 'Mushfiqur Rahim', 'Nadif Chowdhury', 'Nadif Chowdhury', 'Nazmus Sadat', 'Nazmus Sadat', 'P Utseya', 'P Utseya', 'SC Williams', 'SC Williams', 'Shahadat Hossain', 'Shahadat Hossain', 'Shahriar Nafees', 'Shahriar Nafees', 'Shakib Al Hasan', 'Shakib Al Hasan', 'S Matsikenyeri']"
10,255954,South Africa Vs India Only T20I,255953,India tour of South Africa  - 2006 (2006/07),01/12/06,T20,3,South Africa,GC Smith,126,9,13,6,India,V Sehwag,127,4,11,New Wanderers Stadium,Johannesburg,South Africa,BG Jerling,IL Howell,BC Broad,South Africa,bat,India,India won by 6 wickets (with 1 ball remaining),KD Karthik,"['GC Smith', 'LE Bosman', 'HH Gibbs', 'JM Kemp', 'AB de Villiers', 'JA Morkel', 'JJ van der Wath', 'RJ Peterson', 'T Henderson', 'R Telemachus', 'CK Langeveldt']","['V Sehwag', 'SR Tendulkar', 'D Mongia', 'MS Dhoni', 'KD Karthik', 'SK Raina', 'IK Pathan', 'Harbhajan Singh', 'Z Khan', 'AB Agarkar', 'S Sreesanth']","['AB Agarkar', 'AB Agarkar', 'KD Karthik', 'KD Karthik', 'D Mongia', 'Harbhajan Singh', 'IK Pathan', 'MS Dhoni', 'MS Dhoni', 'SR Tendulkar', 'SR Tendulkar', 'S Sreesanth', 'S Sreesanth', 'SK Raina', 'SK Raina', 'T Henderson', 'V Sehwag', 'Z Khan']"
11,251487,New Zealand Vs Sri Lanka 1St T20I,251042,Sri Lanka tour of New Zealand  - 2006 (2006/07),22/12/06,T20,5,New Zealand,SP Fleming,162,8,12,8,Sri Lanka,DPMD Jayawardene,62,1,3,Westpac Stadium,Wellington,New Zealand,EA Watkin,AL Hill,J Srinath,New Zealand,bat,Sri Lanka,Sri Lanka won by 18 runs (D/L method),ST Jayasuriya,"['BB McCullum', 'SP Fleming', 'JEC Franklin', 'LRPL Taylor', 'NJ Astle', 'JAH Marshall', 'PD McGlashan', 'AR Adams', 'SE Bond', 'MR Gillespie', 'JS Patel']","['WU Tharanga', 'ST Jayasuriya', 'DPMD Jayawardene', 'KC Sangakkara', 'MS Atapattu', 'LPC Silva', 'CK Kapugedera', 'MF Maharoof', 'WPUJC Vaas', 'CRD Fernando', 'M Muralidaran']","['LPC Silva', 'WPUJC Vaas', 'MR Gillespie', 'MS Atapattu', 'M Muralidaran', 'PD McGlashan', 'LRPL Taylor']"
12,251488,New Zealand Vs Sri Lanka 2Nd T20I,251042,Sri Lanka tour of New Zealand  - 2006 (2006/07),26/12/06,T20,8,Sri Lanka,DPMD Jayawardene,115,10,12,5,New Zealand,SP Fleming,116,5,8,Eden Park,Auckland,New Zealand,BF Bowden,AL Hill,J Srinath,New Zealand,bowl,New Zealand,New Zealand won by 5 wickets (with 9 balls remaining),JEC Franklin,"['WU Tharanga', 'CK Kapugedera', 'DPMD Jayawardene', 'KC Sangakkara', 'MS Atapattu', 'TM Dilshan', 'LPC Silva', 'HMCM Bandara', 'SL Malinga', 'CRD Fernando', 'PDRL Perera']","['BB McCullum', 'SP Fleming', 'LRPL Taylor', 'NJ Astle', 'PG Fulton', 'PD McGlashan', 'JEC Franklin', 'AR Adams', 'MR Gillespie', 'JS Patel', 'MJ Mason']","['HMCM Bandara', 'MJ Mason']"
13,249227,Australia Vs England Only T20I,249147,England tour of Australia  - 2006 (2006/07),09/01/07,T20,2,Australia,RT Ponting,221,5,4,1,England,MP Vaughan,144,9,12,Sydney Cricket Ground,Sydney,Australia,RL Parry,PD Parker,RS Madugalle,Australia,bat,Australia,Australia won by 77 runs,CL White,"['AC Gilchrist', 'ML Hayden', 'RT Ponting', 'MEK Hussey', 'A Symonds', 'MJ Clarke', 'CL White', 'GB Hogg', 'NW Bracken', 'BW Hilfenhaus', 'SM Harwood']","['EC Joyce', 'MP Vaughan', 'A Flintoff', 'KP Pietersen', 'IR Bell', 'PD Collingwood', 'PA Nixon', 'JWM Dalrymple', 'J Lewis', 'MS Panesar', 'JM Anderson']","['BW Hilfenhaus', 'CL White', 'JM Anderson', 'MS Panesar', 'PA Nixon', 'SM Harwood']"
14,255957,South Africa Vs Pakistan Only T20I,255956,Pakistan tour of South Africa  - 2007 (2006/07),02/02/07,T20,7,Pakistan,Younis Khan,129,8,19,3,South Africa,GC Smith,132,0,8,New Wanderers Stadium,Johannesburg,South Africa,BG Jerling,RE Koertzen,BC Broad,South Africa,bowl,South Africa,South Africa won by 10 wickets (with 51 balls remaining),LE Bosman,"['Imran Nazir', 'Kamran Akmal', 'Mohammad Hafeez', 'Shoaib Malik', 'Younis Khan', 'Shahid Afridi', 'Abdul Razzaq', 'Zulqarnain Haider', 'Naved-ul-Hasan', 'Abdur Rehman', 'Shabbir Ahmed']","['GC Smith', 'LE Bosman', 'AB de Villiers', 'MN van Wyk', 'JM Kemp', 'JA Morkel', 'SM Pollock', 'JJ van der Wath', 'RJ Peterson', 'R Telemachus', 'AC Thomas']","['Abdur Rehman', 'AC Thomas', 'Imran Nazir', 'MN van Wyk', 'Shabbir Ahmed', 'Zulqarnain Haider']"
15,258463,England Vs West Indies 1St T20I,258447,West Indies tour of England and Ireland  - 2007 (2007),28/06/07,T20,4,West Indies,CH Gayle,208,8,16,1,England,PD Collingwood,193,7,16,Kennington Oval,London,England,NJ Llong,PJ Hartley,MJ Procter,West Indies,bat,West Indies,West Indies won by 15 runs,PD Collingwood,"['CH Gayle', 'DS Smith', 'S Chanderpaul', 'MN Samuels', 'DJ Bravo', 'D Ramdin', 'DR Smith', 'RS Morton', 'DJG Sammy', 'R Rampaul', 'DBL Powell']","['AN Cook', 'MJ Prior', 'IJL Trott', 'KP Pietersen', 'PD Collingwood', 'OA Shah', 'AD Mascarenhas', 'MH Yardy', 'SCJ Broad', 'RJ Sidebottom', 'JM Anderson']","['AN Cook', 'DBL Powell', 'DJG Sammy', 'DS Smith', 'DS Smith', 'AD Mascarenhas', 'IJL Trott', 'MN Samuels', 'MJ Prior', 'OA Shah', 'R Rampaul', 'RJ Sidebottom']"
16,258464,England Vs West Indies 2Nd T20I,258447,West Indies tour of England and Ireland  - 2007 (2007),29/06/07,T20,4,West Indies,CH Gayle,169,7,7,1,England,PD Collingwood,173,5,21,Kennington Oval,London,England,IJ Gould,NJ Llong,MJ Procter,West Indies,bat,England,England won by 5 wickets (with 3 balls remaining),OA Shah,"['CH Gayle', 'LMP Simmons', 'ACL Richards', 'MN Samuels', 'D Ramdin', 'RS Morton', 'DR Smith', 'DJ Bravo', 'DJG Sammy', 'R Rampaul', 'DBL Powell']","['AN Cook', 'MJ Prior', 'IJL Trott', 'KP Pietersen', 'PD Collingwood', 'OA Shah', 'AD Mascarenhas', 'MH Yardy', 'SCJ Broad', 'RJ Sidebottom', 'JM Anderson']","['ACL Richards', 'LMP Simmons']"
17,306987,Kenya Vs Bangladesh 2Nd Match,306979,"Twenty20 Quadrangular (in Kenya) Bangladesh, Kenya, Pakistan, Uganda in Kenya - 2007 (2007/08)",01/09/07,T20,26,Kenya,SO Tikolo,138,7,6,25,Bangladesh,Mohammad Ashraful,139,5,6,Gymkhana Club Ground,Nairobi,Kenya,R D'Mello,SR Modi,MJ Procter,Bangladesh,bowl,Bangladesh,Bangladesh won by 5 wickets (with 14 balls remaining),Nazimuddin,"['DO Obuya', 'JS Jesani', 'T Mishra', 'SO Tikolo', 'TM Odoyo', 'CO Obuya', 'JK Kamande', 'RL Bhudia', 'LN Onyango', 'PJ Ongondo', 'HA Varaiya']","['Tamim Iqbal', 'Nazimuddin', 'Aftab Ahmed', 'Mohammad Ashraful', 'Alok Kapali', 'Mahmudullah', 'Mashrafe Mortaza', 'Farhad Reza', 'Mushfiqur Rahim', 'Syed Rasel', 'Abdur Razzak']","['Alok Kapali', 'Alok Kapali', 'CO Obuya', 'DO Obuya', 'DO Obuya', 'HA Varaiya', 'HA Varaiya', 'JS Jesani', 'JS Jesani', 'JK Kamande', 'JK Kamande', 'LN Onyango', 'LN Onyango', 'Mahmudullah', 'Mahmudullah', 'Mohammad Ashraful', 'Mohammad Ashraful', 'Nazimuddin', 'Nazimuddin', 'PJ Ongondo', 'PJ Ongondo', 'RL Bhudia', 'RL Bhudia', 'SO Tikolo', 'SO Tikolo', 'Syed Rasel', 'Syed Rasel', 'Tamim Iqbal', 'Tamim Iqbal', 'T Mishra', 'T Mishra', 'TM Odoyo', 'TM Odoyo']"
18,306989,Bangladesh Vs Pakistan 4Th Match,306979,"Twenty20 Quadrangular (in Kenya) Bangladesh, Kenya, Pakistan, Uganda in Kenya - 2007 (2007/08)",02/09/07,T20,7,Pakistan,Shoaib Malik,191,7,3,25,Bangladesh,Mohammad Ashraful,161,7,10,Gymkhana Club Ground,Nairobi,Kenya,R D'Mello,SR Modi,MJ Procter,Bangladesh,bowl,Pakistan,Pakistan won by 30 runs,Imran Nazir,"['Salman Butt', 'Imran Nazir', 'Younis Khan', 'Shoaib Malik', 'Shahid Afridi', 'Misbah-ul-Haq', 'Kamran Akmal', 'Yasir Arafat', 'Shoaib Akhtar', 'Iftikhar Anjum', 'Mohammad Asif']","['Tamim Iqbal', 'Nazimuddin', 'Aftab Ahmed', 'Mohammad Ashraful', 'Alok Kapali', 'Mahmudullah', 'Mashrafe Mortaza', 'Farhad Reza', 'Mushfiqur Rahim', 'Syed Rasel', 'Abdur Razzak']","['Iftikhar Anjum', 'Misbah-ul-Haq', 'Salman Butt', 'Yasir Arafat']"
19,306991,Kenya Vs Pakistan 6Th Match,306979,"Twenty20 Quadrangular (in Kenya) Bangladesh, Kenya, Pakistan, Uganda in Kenya - 2007 (2007/08)",04/09/07,T20,26,Kenya,TM Odoyo,92,10,10,7,Pakistan,Shoaib Malik,93,2,5,Gymkhana Club Ground,Nairobi,Kenya,IO Oyieko,SR Modi,MJ Procter,Kenya,bat,Pakistan,Pakistan won by 8 wickets (with 36 balls remaining),Younis Khan,"['DO Obuya', 'JK Kamande', 'T Mishra', 'CO Obuya', 'TM Odoyo', 'AO Suji', 'AA Obanda', 'RL Bhudia', 'LN Onyango', 'PJ Ongondo', 'HA Varaiya']","['Shoaib Malik', 'Mohammad Hafeez', 'Misbah-ul-Haq', 'Fawad Alam', 'Salman Butt', 'Younis Khan', 'Imran Nazir', 'Kamran Akmal', 'Abdur Rehman', 'Umar Gul', 'Shoaib Akhtar']","['AA Obanda', 'AA Obanda', 'Fawad Alam', 'AO Suji', 'AO Suji', 'Umar Gul']"
20,287853,South Africa Vs West Indies 1St Match Group A,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),11/09/07,T20,4,West Indies,RR Sarwan,205,6,17,3,South Africa,GC Smith,208,2,28,New Wanderers Stadium,Johannesburg,South Africa,DJ Harper,MR Benson,BC Broad,South Africa,bowl,South Africa,South Africa won by 8 wickets (with 14 balls remaining),CH Gayle,"['CH Gayle', 'DS Smith', 'MN Samuels', 'S Chanderpaul', 'DR Smith', 'RR Sarwan', 'D Ramdin', 'DJ Bravo', 'DBL Powell', 'R Rampaul', 'FH Edwards']","['GC Smith', 'HH Gibbs', 'AB de Villiers', 'JM Kemp', 'MV Boucher', 'SM Pollock', 'JA Morkel', 'JJ van der Wath', 'VD Philander', 'M Ntini', 'M Morkel']","['FH Edwards', 'M Morkel', 'RR Sarwan', 'VD Philander']"
21,287854,Kenya Vs New Zealand 2Nd Match Group C,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),12/09/07,T20,26,Kenya,SO Tikolo,73,10,8,5,New Zealand,DL Vettori,74,1,10,Kingsmead,Durban,South Africa,BR Doctrove,SJA Taufel,MJ Procter,New Zealand,bowl,New Zealand,New Zealand won by 9 wickets (with 74 balls remaining),MR Gillespie,"['MA Ouma', 'DO Obuya', 'T Mishra', 'SO Tikolo', 'CO Obuya', 'TM Odoyo', 'NN Odhiambo', 'AA Obanda', 'JK Kamande', 'RL Bhudia', 'PJ Ongondo']","['L Vincent', 'BB McCullum', 'PG Fulton', 'LRPL Taylor', 'SB Styris', 'JDP Oram', 'CD McMillan', 'DL Vettori', 'SE Bond', 'MR Gillespie', 'CS Martin']","['CS Martin', 'DL Vettori', 'MA Ouma', 'MA Ouma', 'NN Odhiambo', 'NN Odhiambo']"
22,287855,Pakistan Vs Scotland 3Rd Match Group D,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),12/09/07,T20,7,Pakistan,Shoaib Malik,171,9,6,30,Scotland,RR Watson,120,10,13,Kingsmead,Durban,South Africa,SJA Taufel,SJ Davis,MJ Procter,Scotland,bowl,Pakistan,Pakistan won by 51 runs,Shahid Afridi,"['Salman Butt', 'Imran Nazir', 'Mohammad Hafeez', 'Younis Khan', 'Shoaib Malik', 'Shahid Afridi', 'Misbah-ul-Haq', 'Kamran Akmal', 'Yasir Arafat', 'Umar Gul', 'Mohammad Asif']","['DF Watts', 'RR Watson', 'NS Poonia', 'GM Hamilton', 'NFI McCallum', 'DR Brown', 'CJO Smith', 'RM Haq', 'CM Wright', 'JAR Blain', 'JD Nel']","['CJO Smith', 'CJO Smith', 'CM Wright', 'CM Wright', 'JD Nel', 'DR Brown', 'DF Watts', 'DF Watts', 'GM Hamilton', 'JAR Blain', 'JAR Blain', 'RM Haq', 'RM Haq', 'NS Poonia', 'NFI McCallum', 'NFI McCallum', 'RR Watson', 'RR Watson']"
23,287856,Australia Vs Zimbabwe 4Th Match Group B,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),12/09/07,T20,2,Australia,RT Ponting,138,9,7,9,Zimbabwe,P Utseya,139,5,7,Newlands,Cape Town,South Africa,Asad Rauf,AL Hill,RS Madugalle,Australia,bat,Zimbabwe,Zimbabwe won by 5 wickets (with 1 ball remaining),BRM Taylor,"['AC Gilchrist', 'ML Hayden', 'RT Ponting', 'A Symonds', 'MEK Hussey', 'BJ Hodge', 'BJ Haddin', 'B Lee', 'MG Johnson', 'NW Bracken', 'SR Clark']","['V Sibanda', 'BRM Taylor', 'CJ Chibhabha', 'T Taibu', 'S Matsikenyeri', 'H Masakadza', 'E Chigumbura', 'KM Dabengwa', 'P Utseya', 'GB Brent', 'T Mupariwa']","['BJ Hodge', 'MG Johnson', 'T Taibu', 'T Taibu', 'T Mupariwa', 'T Mupariwa', 'V Sibanda']"
24,287857,Bangladesh Vs West Indies 5Th Match Group A,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),13/09/07,T20,4,West Indies,RR Sarwan,164,8,10,25,Bangladesh,Mohammad Ashraful,165,4,13,New Wanderers Stadium,Johannesburg,South Africa,MR Benson,NJ Llong,BC Broad,Bangladesh,bowl,Bangladesh,Bangladesh won by 6 wickets (with 12 balls remaining),Mohammad Ashraful,"['CH Gayle', 'DS Smith', 'S Chanderpaul', 'MN Samuels', 'RR Sarwan', 'D Ramdin', 'DR Smith', 'DJ Bravo', 'DBL Powell', 'R Rampaul', 'FH Edwards']","['Tamim Iqbal', 'Nazimuddin', 'Aftab Ahmed', 'Mohammad Ashraful', 'Shakib Al Hasan', 'Alok Kapali', 'Farhad Reza', 'Mushfiqur Rahim', 'Mashrafe Mortaza', 'Syed Rasel', 'Abdur Razzak']",[]
25,287858,England Vs Zimbabwe 6Th Match Group B,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),13/09/07,T20,1,England,PD Collingwood,188,9,4,9,Zimbabwe,P Utseya,138,7,5,Newlands,Cape Town,South Africa,Asad Rauf,AL Hill,RS Madugalle,England,bat,England,England won by 50 runs,KP Pietersen,"['DL Maddy', 'MJ Prior', 'LJ Wright', 'KP Pietersen', 'PD Collingwood', 'A Flintoff', 'OA Shah', 'AD Mascarenhas', 'CP Schofield', 'SCJ Broad', 'JM Anderson']","['V Sibanda', 'BRM Taylor', 'T Taibu', 'CJ Chibhabha', 'S Matsikenyeri', 'E Chigumbura', 'H Masakadza', 'P Utseya', 'KM Dabengwa', 'GB Brent', 'T Mupariwa']","['CP Schofield', 'DL Maddy', 'LJ Wright']"
